frame,time_sec,marker_id,x,y,z,rx,ry,rz
27,0.450000,1,-9835.049383,-1866.170549,272395.238194,0.220820,3.118005,0.444297
27,0.450000,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
28,0.466667,1,-9835.049383,-1866.170549,272395.238194,0.220820,3.118005,0.444297
28,0.466667,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
29,0.483333,1,-9835.049383,-1866.170549,272395.238194,0.220820,3.118005,0.444297
29,0.483333,7,-5026.721330,-2629.351069,278022.701607,0.190386,2.943884,-0.067921
30,0.500000,7,-5047.087229,-2601.557415,278194.057955,-0.186711,-2.969038,-0.074472
31,0.516667,1,-9870.670101,-1871.895477,273220.529206,0.219813,3.137049,0.430914
31,0.516667,7,-4983.331187,-2591.243242,275181.059415,-0.205652,-3.404706,0.082019
32,0.533333,1,-9870.670101,-1871.895477,273220.529206,0.219813,3.137049,0.430914
32,0.533333,7,-4983.331187,-2591.243242,275181.059415,-0.205652,-3.404706,0.082019
33,0.550000,7,-5056.535047,-2602.120309,278563.671517,-0.190878,-2.988419,-0.084492
34,0.566667,1,-9870.670101,-1871.895477,273220.529206,0.219813,3.137049,0.430914
35,0.583333,7,-5017.560536,-2607.706402,277833.601623,0.166260,2.950611,-0.079597
36,0.600000,1,-9849.131572,-1871.051051,272703.883947,0.222007,3.130753,0.450392
36,0.600000,7,-5017.560536,-2607.706402,277833.601623,0.166260,2.950611,-0.079597
37,0.616667,1,-9849.131572,-1871.051051,272703.883947,0.222007,3.130753,0.450392
37,0.616667,7,-5004.077366,-2601.866447,276319.059186,-0.207893,-3.387374,0.061968
38,0.633333,1,-9849.131572,-1871.051051,272703.883947,0.222007,3.130753,0.450392
38,0.633333,7,-5004.077366,-2601.866447,276319.059186,-0.207893,-3.387374,0.061968
39,0.650000,1,-9849.131572,-1871.051051,272703.883947,0.222007,3.130753,0.450392
39,0.650000,7,-5033.197539,-2611.494804,278844.449368,0.166726,2.986159,-0.084504
40,0.666667,1,-9849.131572,-1871.051051,272703.883947,0.222007,3.130753,0.450392
40,0.666667,7,-5004.077366,-2601.866447,276319.059186,-0.207893,-3.387374,0.061968
41,0.683333,1,-9870.670101,-1871.895477,273220.529206,0.219813,3.137049,0.430914
42,0.700000,1,-9849.131572,-1871.051051,272703.883947,0.222007,3.130753,0.450392
42,0.700000,7,-5004.077366,-2601.866447,276319.059186,-0.207893,-3.387374,0.061968
43,0.716667,1,-9849.131572,-1871.051051,272703.883947,0.222007,3.130753,0.450392
43,0.716667,7,-4993.518087,-2599.284643,275739.999166,0.174976,2.873641,-0.061213
44,0.733333,1,-9849.131572,-1871.051051,272703.883947,0.222007,3.130753,0.450392
44,0.733333,7,-4993.518087,-2599.284643,275739.999166,0.174976,2.873641,-0.061213
